date,BTC,,momentum
2020-02-01,9338.2,,9338.2
2020-02-02,9300.64,,9300.64
2020-02-03,9198.35,,9198.35
2020-02-04,9630,,9630
2020-02-05,9778.12,,9778.12
2020-02-06,9821.52,,9821.52
2020-02-07,9906.43,,9906.43
2020-02-08,10167.38,,10167.38
2020-02-09,9865.56,,9865.56
2020-02-10,10229.06,,10229.06
2020-02-11,10339.99,,10339.99
2020-02-12,10239.63,,10239.63
2020-02-13,10356.82,,10356.82
2020-02-14,9914.99,,9914.99
2020-02-15,9921.86,,9921.86
2020-02-16,9716,,9716
2020-02-17,10174.32,,10174.32
2020-02-18,9593.65,,9593.65
2020-02-19,9601.99,,9601.99
2020-02-20,9681.39,,9681.39
2020-02-21,9659.2,,9659.2
2020-02-22,9943.12,,9943.12
2020-02-23,9662.95,,9662.95
2020-02-24,9326,,9326
2020-02-25,8792.22,,8792.22
2020-02-26,8828,,8828
2020-02-27,8699.57,,8828
2020-02-28,8531.98,,8828
2020-02-29,8537.84,,8828
2020-03-01,8919.7,,8828
2020-03-02,8765,,8828
2020-03-03,8756.93,,8828
2020-03-04,9062.81,,8828
2020-03-05,9139.48,,8828
2020-03-06,8897.18,,8828
2020-03-07,8038.46,,8828
2020-03-08,7932.15,,8769.6241
2020-03-09,7897.66,,8769.6241
2020-03-10,7938.39,,8769.6241
2020-03-11,4764.65,,8769.6241
2020-03-12,5570.26,,8769.6241
2020-03-13,5167.01,,8769.6241
2020-03-14,5357.32,,8769.6241
2020-03-15,5026.26,,8769.6241
2020-03-16,5307.38,,8769.6241
2020-03-17,5389.64,,8769.6241
2020-03-18,6159.6,,8769.6241
2020-03-19,6203.77,,8769.6241
2020-03-20,6183.69,,8769.6241
2020-03-21,5810.17,,8769.6241
2020-03-22,6463.84,,8769.6241
2020-03-23,6741.33,,8769.6241
2020-03-24,6673.41,,8769.6241
2020-03-25,6733.76,,8769.6241
2020-03-26,6353.64,,8769.6241
2020-03-27,6230.95,,8769.6241
2020-03-28,5876.27,,8769.6241
2020-03-29,6391.08,,8769.6241
2020-03-30,6407.1,,8769.6241
2020-03-31,6641.51,,8769.6241
2020-04-01,6791.63,,8769.6241
2020-04-02,6729.8,,8769.6241
2020-04-03,6851.1,,8769.6241
2020-04-04,6768.9,,8769.6241
2020-04-05,7325.73,,8769.6241
2020-04-06,7192.9,,8769.6241
2020-04-07,7357.66,,8769.6241
2020-04-08,7278.65,,8769.6241
2020-04-09,6857.82,,8516.107245
2020-04-10,6874.18,,8526.265248
2020-04-11,6900.52,,8526.265248
2020-04-12,6834,,8485.169275
2020-04-13,6864.11,,8503.861728
2020-04-14,6616.89,,8350.722815
2020-04-15,7098.15,,8654.405425
2020-04-16,7022.44,,8608.250791
2020-04-17,7242.42,,8743.078786
2020-04-18,7118.03,,8667.99673
2020-04-19,6825.29,,8311.511949
2020-04-20,6838,,8319.250765
2020-04-21,7120.06,,8490.830749
2020-04-22,7483.35,,8707.446473
2020-04-23,7504.11,,8719.524392
2020-04-24,7534.01,,8754.26719
2020-04-25,7694.17,,8940.367744
2020-04-26,7774,,9033.127529
2020-04-27,7735.75,,8988.682311
2020-04-28,8784.2,,10206.94608
2020-04-29,8624.76,,10021.68214
2020-04-30,8830.52,,10260.76837
2020-05-01,8975.18,,10428.85844
2020-05-02,8900,,10341.5018
2020-05-03,8873.98,,10311.26743
2020-05-04,9022.78,,10484.16805
2020-05-05,9148.27,,10629.98322
2020-05-06,9995,,11613.85511
2020-05-07,9807.49,,11395.97478
2020-05-08,9550.67,,11097.55854
2020-05-09,8719.53,,10131.80171
2020-05-10,8561.09,,9947.699738
2020-05-11,8808.71,,10235.42588
2020-05-12,9305.91,,10813.15562
2020-05-13,9786.8,,11371.93369
2020-05-14,9310.73,,10818.7563
2020-05-15,9374.99,,10893.42427
2020-05-16,9678.57,,11246.17406
2020-05-17,9731.1,,11307.21216
2020-05-18,9773.64,,11356.64221
2020-05-19,9508.11,,11048.10525
2020-05-20,9060,,10527.41644
2020-05-21,9166.4,,10651.04968
2020-05-22,9176.41,,10662.68096
2020-05-23,8711.37,,10122.32006
2020-05-24,8895.65,,10336.44725
2020-05-25,8837.05,,10268.35601
2020-05-26,9197.32,,10686.97768
2020-05-27,9569.59,,10903.26031
2020-05-28,9422.26,,10819.32896
2020-05-29,9695,,11132.509
2020-05-30,9446.43,,10989.79586
2020-05-31,10232.48,,11904.27139
2020-06-01,9514.9,,11069.45255
2020-06-02,9663.59,,11242.43565
2020-06-03,9788.33,,11387.55578
2020-06-04,9617.29,,11188.57111
2020-06-05,9664,,11242.91263
2020-06-06,9743.92,,11289.40133
2020-06-07,9778.87,,11289.40133
2020-06-08,9771.66,,11289.40133
2020-06-09,9884.99,,11354.86758
2020-06-10,9278.03,,11006.26073
2020-06-11,9458.91,,11113.54711
2020-06-12,9468.54,,11119.20439
2020-06-13,9339.61,,11043.50112
2020-06-14,9422.01,,11043.50112
2020-06-15,9519.12,,11100.41224
2020-06-16,9458.45,,11065.03807
2020-06-17,9381.59,,11065.03807
2020-06-18,9307,,11065.03807
2020-06-19,9354.04,,11065.03807
2020-06-20,9293.51,,11065.03807
2020-06-21,9686.99,,11299.28063
2020-06-22,9631.66,,11267.0111
2020-06-23,9298.4,,11072.08914
2020-06-24,9246.75,,11041.33797
2020-06-25,9159.99,,10989.53888
2020-06-26,9008,,10807.19151
2020-06-27,9114,,10870.77734
2020-06-28,9189.48,,10915.79195
2020-06-29,9138.87,,10885.73322
