date,close_price_BTCUSDT,close_price_ETHUSDT,close_price_SOLUSDT,return_BTCUSDT,return_ETHUSDT,return_SOLUSDT,signal_BTCUSDT,signal_ETHUSDT,signal_SOLUSDT,position_BTCUSDT,position_ETHUSDT,position_SOLUSDT,signal_return_BTCUSDT,signal_return_ETHUSDT,signal_return_SOLUSDT,signal_basket_return,cum_signal_basket_return
9/14/2020,10664.1,377.13,3.2661,0.032570596,0.0297346,,0,0,0,0,0,0,0,0,,0,0
9/15/2020,10776.78,364.06,2.9332,0.010566293,-0.034656485,-0.101925844,0,0,0,0,0,0,0,0,0,0,0
9/16/2020,10948.17,364.95,2.5395,0.015903637,0.002444652,-0.13422201,0,0,0,0,0,0,0,0,0,0,0
9/17/2020,10935.33,389.24,2.8855,-0.001172799,0.066557063,0.136247293,0,0,0,0,0,0,0,0,0,0,0
9/18/2020,10926.29,384.44,3.108,-0.000826678,-0.012331723,0.077109686,0,0,0,0,0,0,0,0,0,0,0
9/19/2020,11073.74,384.96,3.0193,0.013494974,0.001352617,-0.028539254,0,0,0,0,0,0,0,0,0,0,0
9/20/2020,10914.28,370.85,2.8635,-0.014399832,-0.036653159,-0.051601365,0,0,0,0,0,0,0,0,0,0,0
9/21/2020,10414.73,340.19,2.7539,-0.045770312,-0.082674936,-0.038274838,0,0,0,0,0,0,0,0,0,0,0
9/22/2020,10523.32,344.06,2.9183,0.010426579,0.011375996,0.059697157,0,0,0,0,0,0,0,0,0,0,0
9/23/2020,10237.91,320.64,2.8313,-0.027121669,-0.068069523,-0.029811877,0,0,0,0,0,0,0,0,0,0,0
9/24/2020,10724.92,348.77,3.1392,0.047569279,0.087730788,0.108748631,0,0,0,0,0,0,0,0,0,0,0
9/25/2020,10683.51,351.88,3.1821,-0.003861101,0.008917051,0.013665902,0,0,0,0,0,0,0,0,0,0,0
9/26/2020,10726.5,353.88,3.1262,0.004023958,0.005683756,-0.017567015,0,0,0,0,0,0,0,0,0,0,0
9/27/2020,10768,357.4,3.1617,0.003868923,0.009946875,0.011355639,0,0,0,0,0,0,0,0,0,0,0
9/28/2020,10691.45,353.85,2.9564,-0.007109027,-0.009932848,-0.064933422,0,0,0,0,0,0,0,0,0,0,0
9/29/2020,10836.98,359.7,2.9517,0.013611811,0.016532429,-0.001589771,0,0,0,0,0,0,0,0,0,0,0
9/30/2020,10773,359.71,2.9004,-0.005903859,2.78E-05,-0.017379815,0,0,0,0,0,0,0,0,0,0,0
10/1/2020,10612.63,352.53,2.8701,-0.01488629,-0.019960524,-0.010446835,0,0,0,0,0,0,0,0,0,0,0
10/2/2020,10565.15,345.41,2.6236,-0.004473915,-0.020196863,-0.085885509,0,0,0,0,0,0,0,0,0,0,0
10/3/2020,10537.96,345.72,2.5454,-0.002573556,0.000897484,-0.029806373,1,0,0,0.555029381,0,0,0,0,0,0,0
10/4/2020,10660.16,352.23,2.5236,0.011596172,0.018830267,-0.008564469,1,0,0,0.576041137,0,0,0.006436216,0,0,0.006436,0.006436
10/5/2020,10785,353.45,2.6495,0.011710894,0.003463646,0.049889047,1,1,0,0.299000558,0.136758812,0,0.006745956,0,0,0.006746,0.013225
10/6/2020,10593.65,340.65,2.1732,-0.017742235,-0.036214457,-0.179769768,1,0,0,0.58732429,0,0,-0.005304938,-0.004952646,0,-0.010258,0.002832
10/7/2020,10658.75,341.41,2.3027,0.006145191,0.002231029,0.059589545,1,0,0,0.590142823,0,0,0.00360922,0,0,0.003609,0.006451
10/8/2020,10919.45,351.08,2.3716,0.024458778,0.028323716,0.029921397,1,1,0,0.29769553,0.141408465,0,0.014434172,0,0,0.014434,0.020978
10/9/2020,11050.47,365.04,2.5363,0.011998773,0.039763017,0.069446787,1,1,0,0.296904674,0.141375572,0,0.003571981,0.005622827,0,0.009195,0.030366
10/10/2020,11294.79,370.68,2.407,0.022109467,0.015450362,-0.050979774,1,1,0,0.292150412,0.145122975,0,0.006564404,0.002184304,0,0.008749,0.039381
10/11/2020,11369.59,374.39,2.4257,0.006622522,0.010008633,0.007769007,1,1,0,0.292015903,0.14538547,0,0.001934773,0.001452483,0,0.003387,0.042901
10/12/2020,11530.36,386.73,2.5825,0.014140352,0.032960282,0.064641135,1,0,0,0.580472188,0,0,0.004129208,0.004791946,0,0.008921,0.052205
10/13/2020,11419.36,381.12,2.4048,-0.009626759,-0.014506245,-0.068809293,1,1,0,0.29064094,0.152204295,0,-0.005588066,0,0,-0.005588,0.046325
10/14/2020,11417.13,378.75,2.3087,-0.000195282,-0.006218514,-0.039961743,1,1,0,0.305030228,0.153900563,0,-5.68E-05,-0.000946485,0,-0.001003,0.045276
10/15/2020,11502,377.63,2.267,0.007433567,-0.002957096,-0.018062113,1,1,0,0.30577517,0.156900225,0,0.002267463,-0.000455099,0,0.001812,0.04717
10/16/2020,11318.92,365.41,2.1404,-0.015917232,-0.032359717,-0.055844729,1,1,0,0.303744277,0.154239141,0,-0.004867094,-0.005077247,0,-0.009944,0.036757
10/17/2020,11356.25,368.26,2.2062,0.003298018,0.007799458,0.030741917,1,0,0,0.607572544,0,0,0.001001754,0.001202982,0,0.002205,0.039043
10/18/2020,11501.1,378.29,2.2186,0.012755091,0.027236192,0.005620524,1,0,0,0.603460159,0,0,0.007749643,0,0,0.00775,0.047095
10/19/2020,11745,379.47,2.0578,0.021206667,0.0031193,-0.072478139,1,0,0,0.595429353,0,0,0.012797379,0,0,0.012797,0.060495
10/20/2020,11900.03,368.74,1.8905,0.013199659,-0.02827628,-0.081300418,1,0,0,0.601333436,0,0,0.007859465,0,0,0.007859,0.068829
10/21/2020,12796.07,390.96,1.8933,0.075297289,0.060259261,0.00148109,1,1,0,0.267052934,0.177843988,0,0.045278778,0,0,0.045279,0.117225
10/22/2020,12968.87,414.39,1.9619,0.013504146,0.059929405,0.036233032,1,1,0,0.266696198,0.168413758,0,0.003606322,0.010658084,0,0.014264,0.133161
