date,close,open,signal,position,asset_return,signal_return
2020-11-04,14134.31,14016.55,1.0,1.0,0.008401496801994757,0.008401496801994757
2020-11-05,15598.75,14134.32,1.0,1.0,0.10360887797140439,0.10360887797140439
2020-11-06,15590.96,15598.74,1.0,1.0,-0.0004993989903037122,-0.0004993989903037122
2020-11-07,14824.34,15590.95,1.0,1.0,-0.04917080154140596,-0.04917080154140596
2020-11-08,15473.2,14824.33,1.0,1.0,0.043769908137563096,0.043769908137563096
2020-11-09,15328.72,15473.2,1.0,1.0,-0.009337435048987985,-0.009337435048987985
2020-11-10,15294.68,15328.72,1.0,1.0,-0.0022206681314551613,-0.0022206681314551613
2020-11-11,15690.24,15294.68,1.0,1.0,0.025862587514089874,0.025862587514089874
2020-11-12,16289.02,15690.24,1.0,1.0,0.03816257750040797,0.03816257750040797
2020-11-13,16320.54,16289.01,1.0,1.0,0.0019350458161386808,0.0019350458161386808
2020-11-14,16064.51,16320.54,1.0,1.0,-0.015687593670307476,-0.015687593670307476
2020-11-15,15952.27,16064.51,1.0,1.0,-0.00698682997489497,-0.00698682997489497
2020-11-16,16707.07,15951.93,1.0,1.0,0.047316149989938605,0.047316149989938605
2020-11-17,17670.01,16707.0,1.0,1.0,0.057636677167211214,0.057636677167211214
2020-11-18,17788.32,17670.01,1.0,1.0,0.006695525356239296,0.006695525356239296
2020-11-19,17811.68,17788.32,1.0,1.0,0.0013132212597930515,0.0013132212597930515
2020-11-20,18664.31,17811.68,1.0,1.0,0.0478691510289877,0.0478691510289877
2020-11-21,18721.99,18662.85,1.0,1.0,0.0030903901617578278,0.0030903901617578278
2020-11-22,18435.2,18721.99,1.0,1.0,-0.015318350239477807,-0.015318350239477807
2020-11-23,18382.07,18434.17,1.0,1.0,-0.002881986634264977,-0.002881986634264977
2020-11-24,19179.64,18382.07,1.0,1.0,0.04338847583541994,0.04338847583541994
2020-11-25,18741.67,19178.53,1.0,1.0,-0.02283515227605948,-0.02283515227605948
2020-11-26,17155.34,18741.66,1.0,1.0,-0.08464187022821335,-0.08464187022821335
2020-11-27,17144.1,17155.37,1.0,1.0,-0.0006551895794546514,-0.0006551895794546514
2020-11-28,17717.74,17144.11,1.0,1.0,0.033459907490040575,0.033459907490040575
2020-11-29,18181.09,17717.74,1.0,1.0,0.026151755246436537,0.026151755246436537
2020-11-30,19720.0,18180.43,1.0,1.0,0.08464343996977086,0.08464343996977086
2020-12-01,18772.7,19722.09,1.0,1.0,-0.048037525354969524,-0.048037525354969524
2020-12-02,19207.01,18770.33,1.0,1.0,0.023135190995434707,0.023135190995434707
2020-12-03,19434.3,19207.01,1.0,1.0,0.011833700300046823,0.011833700300046823
